Introducing contestants...
* Player 1, weighing 23 bytes, "zork" ("I'M ALIIIIVE") !
* Player 2, weighing 617 bytes, "helltrain" ("choo-choo, motherf*****s !") !
Process 295 hasn't lived for 236 cycles (CTD 236)
Process 265 hasn't lived for 236 cycles (CTD 236)
Process 255 hasn't lived for 246 cycles (CTD 236)
Process 230 hasn't lived for 271 cycles (CTD 236)
Process 219 hasn't lived for 272 cycles (CTD 236)
Process 200 hasn't lived for 266 cycles (CTD 236)
Process 180 hasn't lived for 266 cycles (CTD 236)
Process 160 hasn't lived for 241 cycles (CTD 236)
Process 158 hasn't lived for 261 cycles (CTD 236)
Process 153 hasn't lived for 262 cycles (CTD 236)
Process 143 hasn't lived for 261 cycles (CTD 236)
Process 140 hasn't lived for 246 cycles (CTD 236)
Process 121 hasn't lived for 256 cycles (CTD 236)
Process 106 hasn't lived for 241 cycles (CTD 236)
Process 97 hasn't lived for 252 cycles (CTD 236)
Process 77 hasn't lived for 236 cycles (CTD 236)
Process 65 hasn't lived for 251 cycles (CTD 236)
Process 63 hasn't lived for 271 cycles (CTD 236)
Process 48 hasn't lived for 271 cycles (CTD 236)
Process 44 hasn't lived for 266 cycles (CTD 236)
Process 30 hasn't lived for 262 cycles (CTD 236)
Process 18 hasn't lived for 261 cycles (CTD 236)
Process 4 hasn't lived for 271 cycles (CTD 236)
Process 2 hasn't lived for 262 cycles (CTD 236)
Process 1408 hasn't lived for 202 cycles (CTD 186)
Process 1314 hasn't lived for 208 cycles (CTD 186)
Process 1290 hasn't lived for 248 cycles (CTD 186)
Process 1244 hasn't lived for 218 cycles (CTD 186)
Process 1230 hasn't lived for 258 cycles (CTD 186)
Process 1222 hasn't lived for 202 cycles (CTD 186)
Process 1205 hasn't lived for 242 cycles (CTD 186)
Process 1125 hasn't lived for 212 cycles (CTD 186)
Process 1118 hasn't lived for 252 cycles (CTD 186)
Process 1077 hasn't lived for 197 cycles (CTD 186)
Process 1062 hasn't lived for 198 cycles (CTD 186)
Process 1061 hasn't lived for 237 cycles (CTD 186)
Process 1044 hasn't lived for 238 cycles (CTD 186)
Process 1013 hasn't lived for 222 cycles (CTD 186)
Process 988 hasn't lived for 207 cycles (CTD 186)
Process 983 hasn't lived for 208 cycles (CTD 186)
Process 982 hasn't lived for 247 cycles (CTD 186)
Process 975 hasn't lived for 248 cycles (CTD 186)
Process 970 hasn't lived for 192 cycles (CTD 186)
Process 959 hasn't lived for 232 cycles (CTD 186)
Process 946 hasn't lived for 272 cycles (CTD 186)
Process 940 hasn't lived for 192 cycles (CTD 186)
Process 924 hasn't lived for 232 cycles (CTD 186)
Process 906 hasn't lived for 272 cycles (CTD 186)
Process 884 hasn't lived for 217 cycles (CTD 186)
Process 863 hasn't lived for 218 cycles (CTD 186)
Process 861 hasn't lived for 202 cycles (CTD 186)
Process 856 hasn't lived for 242 cycles (CTD 186)
Process 846 hasn't lived for 187 cycles (CTD 186)
Process 837 hasn't lived for 188 cycles (CTD 186)
Process 836 hasn't lived for 227 cycles (CTD 186)
Process 825 hasn't lived for 228 cycles (CTD 186)
Process 824 hasn't lived for 267 cycles (CTD 186)
Process 823 hasn't lived for 187 cycles (CTD 186)
Process 811 hasn't lived for 268 cycles (CTD 186)
Process 809 hasn't lived for 227 cycles (CTD 186)
Process 803 hasn't lived for 212 cycles (CTD 186)
Process 793 hasn't lived for 267 cycles (CTD 186)
Process 786 hasn't lived for 252 cycles (CTD 186)
Process 758 hasn't lived for 212 cycles (CTD 186)
Process 743 hasn't lived for 237 cycles (CTD 186)
Process 742 hasn't lived for 222 cycles (CTD 186)
Process 735 hasn't lived for 262 cycles (CTD 186)
Process 722 hasn't lived for 222 cycles (CTD 186)
Process 710 hasn't lived for 262 cycles (CTD 186)
Process 694 hasn't lived for 207 cycles (CTD 186)
Process 679 hasn't lived for 208 cycles (CTD 186)
Process 678 hasn't lived for 247 cycles (CTD 186)
Process 661 hasn't lived for 248 cycles (CTD 186)
Process 659 hasn't lived for 207 cycles (CTD 186)
Process 651 hasn't lived for 192 cycles (CTD 186)
Process 640 hasn't lived for 197 cycles (CTD 186)
Process 638 hasn't lived for 217 cycles (CTD 186)
Process 633 hasn't lived for 218 cycles (CTD 186)
Process 632 hasn't lived for 257 cycles (CTD 186)
Process 625 hasn't lived for 258 cycles (CTD 186)
Process 623 hasn't lived for 217 cycles (CTD 186)
Process 620 hasn't lived for 202 cycles (CTD 186)
Process 613 hasn't lived for 257 cycles (CTD 186)
Process 609 hasn't lived for 242 cycles (CTD 186)
Process 590 hasn't lived for 202 cycles (CTD 186)
Process 574 hasn't lived for 242 cycles (CTD 186)
Process 554 hasn't lived for 187 cycles (CTD 186)
Process 544 hasn't lived for 212 cycles (CTD 186)
Process 539 hasn't lived for 252 cycles (CTD 186)
Process 529 hasn't lived for 197 cycles (CTD 186)
Process 520 hasn't lived for 198 cycles (CTD 186)
Process 519 hasn't lived for 237 cycles (CTD 186)
Process 508 hasn't lived for 238 cycles (CTD 186)
Process 506 hasn't lived for 197 cycles (CTD 186)
Process 492 hasn't lived for 237 cycles (CTD 186)
Process 486 hasn't lived for 222 cycles (CTD 186)
Process 469 hasn't lived for 262 cycles (CTD 186)
Process 456 hasn't lived for 247 cycles (CTD 186)
Process 455 hasn't lived for 232 cycles (CTD 186)
Process 448 hasn't lived for 272 cycles (CTD 186)
Process 445 hasn't lived for 192 cycles (CTD 186)
Process 435 hasn't lived for 232 cycles (CTD 186)
Process 423 hasn't lived for 272 cycles (CTD 186)
Process 407 hasn't lived for 217 cycles (CTD 186)
Process 392 hasn't lived for 218 cycles (CTD 186)
Process 391 hasn't lived for 257 cycles (CTD 186)
Process 383 hasn't lived for 207 cycles (CTD 186)
Process 381 hasn't lived for 227 cycles (CTD 186)
Process 376 hasn't lived for 228 cycles (CTD 186)
Process 375 hasn't lived for 267 cycles (CTD 186)
Process 374 hasn't lived for 187 cycles (CTD 186)
Process 368 hasn't lived for 268 cycles (CTD 186)
Process 366 hasn't lived for 227 cycles (CTD 186)
Process 363 hasn't lived for 212 cycles (CTD 186)
Process 356 hasn't lived for 267 cycles (CTD 186)
Process 352 hasn't lived for 252 cycles (CTD 186)
Process 333 hasn't lived for 212 cycles (CTD 186)
Process 317 hasn't lived for 252 cycles (CTD 186)
Process 314 hasn't lived for 222 cycles (CTD 186)
Process 309 hasn't lived for 262 cycles (CTD 186)
Process 299 hasn't lived for 207 cycles (CTD 186)
Process 290 hasn't lived for 208 cycles (CTD 186)
Process 289 hasn't lived for 247 cycles (CTD 186)
Process 278 hasn't lived for 248 cycles (CTD 186)
Process 276 hasn't lived for 207 cycles (CTD 186)
